Date,Open,High,Low,Close,Volume
2017-01-03,11390.8,11442.2,11236.9,11390.8,689705
2017-01-04,11390.8,11493.5,11339.5,11493.5,292632
2017-01-05,11442.2,11519.1,11288.2,11442.2,284019
2017-01-06,11390.8,11570.4,11390.8,11493.5,339771
2017-01-09,11493.5,11544.8,11262.6,11442.2,295608
2017-01-10,11442.2,11596.1,11442.2,11544.8,579835
2017-01-11,11544.8,11596.1,11519.1,11570.4,195970
2017-01-12,11519.1,11570.4,11493.5,11570.4,230006
2017-01-13,11570.4,11570.4,11390.8,11390.8,261397
2017-01-16,11390.8,11544.8,11390.8,11544.8,213336
2017-01-17,11570.4,11673.1,11544.8,11544.8,456671
2017-01-18,11673.1,11801.3,11647.4,11750.0,489385
2017-01-19,11750.0,11750.0,11596.1,11647.4,202199
2017-01-20,11673.1,11673.1,11544.8,11596.1,266670
2017-01-23,11596.1,11596.1,11493.5,11544.8,172252
2017-01-24,11544.8,11801.3,11519.1,11544.8,281617
2017-01-25,11544.8,11801.3,11519.1,11801.3,240534
2017-02-02,11698.7,11698.7,11544.8,11544.8,201364
2017-02-03,11544.8,11570.4,11442.2,11442.2,334534
2017-02-06,11493.5,11493.5,11390.8,11442.2,209125
2017-02-07,11493.5,11519.1,11416.5,11416.5,329801
2017-02-08,11416.5,11467.8,11365.2,11467.8,243074
2017-02-09,11467.8,11493.5,11442.2,11493.5,380159
2017-02-10,11493.5,11801.3,11442.2,11698.7,777649
2017-02-13,11750.0,11801.3,11698.7,11724.4,345148
2017-02-14,11724.4,11724.4,11698.7,11724.4,203417
2017-02-15,11724.4,11852.6,11698.7,11750.0,239368
2017-02-16,11801.3,11852.6,11698.7,11775.7,636127
2017-02-17,11775.7,11801.3,11750.0,11801.3,287864
2017-02-20,11801.3,11801.3,11673.1,11724.4,315862
2017-02-21,11724.4,11750.0,11596.1,11673.1,365473
2017-02-22,11647.4,11852.6,11544.8,11544.8,823205
2017-02-23,11544.8,11647.4,11519.1,11544.8,220140
2017-02-24,11544.8,11596.1,11519.1,11544.8,485783
2017-02-27,11544.8,11544.8,11416.5,11416.5,289448
2017-02-28,11467.8,11596.1,11442.2,11596.1,168320
2017-03-01,11544.8,11801.3,11442.2,11750.0,222698
2017-03-02,11750.0,11801.3,11750.0,11750.0,237610
2017-03-03,11698.7,11801.3,11698.7,11801.3,170495
2017-03-06,11698.7,11827.0,11698.7,11750.0,565149
2017-03-07,11750.0,12314.4,11750.0,12211.8,1157286
2017-03-08,12468.4,12776.2,12417.0,12673.6,1114202
2017-03-09,12673.6,12724.9,12365.7,12365.7,416979
2017-03-10,12365.7,13032.8,12365.7,13032.8,1131394
2017-03-13,12981.5,13135.4,12878.8,12878.8,960882
2017-03-14,12878.8,12930.2,12724.9,12930.2,271455
2017-03-15,12930.2,13340.6,12930.2,13135.4,792092
2017-03-16,13135.4,13828.1,12981.5,13725.5,1565670
2017-03-17,13699.8,13905.0,13699.8,13699.8,576512
2017-03-20,13699.8,13905.0,13597.2,13699.8,878888
2017-03-21,13699.8,13699.8,13340.6,13571.5,1146480
2017-03-22,13545.9,13571.5,13391.9,13468.9,582271
2017-03-23,13443.3,14110.3,13443.3,14059.0,969356
2017-03-24,14059.0,14212.9,13751.1,13751.1,582254
2017-03-27,13751.1,14007.7,13699.8,13751.1,596714
2017-03-28,13648.5,13802.4,13494.6,13494.6,712605
2017-03-29,13648.5,13648.5,13289.3,13289.3,960447
2017-03-30,13289.3,13597.2,13289.3,13545.9,660228
2017-03-31,13545.9,13751.1,13520.2,13597.2,771681
2017-04-03,13597.2,14366.8,13545.9,13956.4,1052463
2017-04-04,14007.7,14212.9,13751.1,13776.8,735765
2017-04-05,13751.1,14110.3,13699.8,14007.7,2061215
2017-04-07,14007.7,14059.0,13802.4,14007.7,1345600
2017-04-10,14007.7,14879.9,14007.7,14879.9,3473042
2017-04-11,14931.2,15239.1,14828.6,14828.6,2272723
2017-04-12,14828.6,15033.9,14520.8,14726.0,1043136
2017-04-13,14726.0,14982.6,14572.1,14726.0,1218138
2017-04-14,14726.0,15393.0,14315.5,15290.4,2319950
2017-04-17,15290.4,15495.7,14931.2,14931.2,1528275
2017-04-18,14879.9,15033.9,14726.0,15033.9,819290
2017-04-19,15033.9,15085.2,14597.7,14828.6,1607571
2017-04-20,14879.9,14879.9,14289.9,14366.8,1583088
2017-04-21,14110.3,14418.1,14059.0,14418.1,1646306
2017-04-24,14315.5,14418.1,14264.2,14289.9,706131
2017-04-25,14264.2,14443.8,13956.4,14366.8,1651335
2017-04-26,14238.6,14366.8,14161.6,14161.6,1031303
2017-04-27,14212.9,14212.9,14007.7,14110.3,1064330
2017-04-28,14110.3,14366.8,13956.4,14366.8,494553
2017-05-03,14264.2,14520.8,14212.9,14212.9,562312
2017-05-04,14161.6,14315.5,14110.3,14264.2,796007
2017-05-05,14264.2,15033.9,14187.2,14520.8,2606770
2017-05-08,14854.3,15341.7,14674.7,15187.8,2346034
2017-05-09,15239.1,15803.5,15008.2,15393.0,2832547
2017-05-10,15341.7,15470.0,14879.9,14982.6,1904223
2017-05-11,14828.6,15136.5,14803.0,15059.5,1601307
2017-05-12,15059.5,15418.7,14905.6,15085.2,1052446
2017-05-15,15085.2,15854.8,14982.6,15393.0,1791604
2017-05-16,15393.0,15393.0,14879.9,14879.9,1398238
2017-05-17,14777.3,14879.9,14418.1,14674.7,1817827
2017-05-18,14520.8,14674.7,14418.1,14443.8,1382385
2017-05-19,14366.8,14623.4,14289.9,14572.1,1660575
2017-05-22,14572.1,14803.0,14110.3,14110.3,1578251
2017-05-23,14110.3,14264.2,13751.1,13751.1,1320699
2017-05-24,13597.2,13776.8,13391.9,13443.3,1438295
2017-05-25,13443.3,14366.8,13443.3,14084.6,1324788
2017-05-26,14110.3,14315.5,14007.7,14161.6,573954
2017-05-29,14212.9,14828.6,14084.6,14572.1,1359120
2017-05-30,14572.1,14777.3,14341.2,14366.8,1392408
2017-05-31,14366.8,14623.4,14212.9,14315.5,649422
2017-06-01,14366.8,14366.8,14212.9,14264.2,277302
2017-06-02,14264.2,14572.1,14212.9,14495.1,651423
2017-06-05,14597.7,14674.7,14315.5,14572.1,718590
2017-06-06,14623.4,14982.6,14572.1,14931.2,965180
2017-06-07,15110.8,15110.8,14726.0,14777.3,461265
2017-06-08,14777.3,14982.6,14520.8,14674.7,480528
2017-06-09,14751.7,14777.3,14469.5,14597.7,236671
2017-06-12,14597.7,14623.4,14341.2,14366.8,405530
2017-06-13,14366.8,14366.8,14161.6,14366.8,459786
2017-06-14,14418.1,14572.1,14187.2,14212.9,510057
2017-06-15,14212.9,14572.1,14187.2,14212.9,803907
2017-06-16,14264.2,14418.1,14264.2,14289.9,421765
2017-06-19,14520.8,15110.8,14315.5,14879.9,3256017
2017-06-20,15033.9,15162.1,14828.6,15162.1,2034956
2017-06-21,15239.1,15418.7,14982.6,15187.8,1594451
2017-06-22,15341.7,15341.7,15008.2,15033.9,1085821
2017-06-23,15033.9,15239.1,15008.2,15085.2,967337
2017-06-26,15085.2,15290.4,14931.2,15187.8,1601516
2017-06-27,15187.8,15623.9,15136.5,15393.0,2426461
2017-06-28,16470.5,16470.5,15446.4,15730.9,547808
2017-06-29,15816.2,15930.0,15759.3,15930.0,283628
2017-06-30,15930.0,16385.1,15930.0,16214.4,547681
2017-07-03,16271.3,16271.3,15674.0,15873.1,265873
2017-07-04,15873.1,16043.8,15787.8,15844.6,242579
2017-07-05,15873.1,16043.8,15702.4,15844.6,282980
2017-07-06,15816.2,16271.3,15816.2,15958.4,537427
2017-07-07,16100.7,16442.0,15958.4,16214.4,818286
2017-07-10,16214.4,16470.5,16015.3,16214.4,783155
2017-07-11,16214.4,16214.4,15930.0,16015.3,566750
2017-07-12,16214.4,16214.4,15930.0,16100.7,318854
2017-07-13,16015.3,16783.4,16015.3,16669.6,2233025
2017-07-14,16669.6,16897.2,16470.5,16498.9,629401
2017-07-17,16498.9,16669.6,15986.9,15986.9,524071
2017-07-18,15759.3,15930.0,15247.3,15361.1,1360049
2017-07-19,15361.1,16100.7,15361.1,16100.7,949948
2017-07-20,16157.6,16214.4,15645.5,16015.3,950170
2017-07-21,16214.4,16555.8,16015.3,16015.3,1736885
2017-07-24,16015.3,16385.1,16015.3,16299.8,521634
2017-07-25,16385.1,16498.9,16100.7,16413.6,1166036
2017-07-26,16498.9,17551.4,16385.1,17551.4,3538019
2017-07-27,17380.7,18063.5,17323.9,17579.9,2512159
2017-07-28,17466.1,17750.6,17238.5,17523.0,3757035
2017-07-31,17523.0,17807.4,17181.6,17267.0,2264469
2017-08-01,17267.0,17636.8,17153.2,17380.7,3111809
2017-08-02,17380.7,17579.9,17181.6,17579.9,2563748
