Date,Open,High,Low,Close,Volume
2017-05-18,11639.6,12215.8,11524.3,11898.9,10552953
2017-05-19,12014.1,12100.6,11639.6,11639.6,8147384
2017-05-22,11524.3,11783.6,10890.5,10890.5,10585389
2017-05-23,10775.3,11265.0,10688.8,10832.9,9224964
2017-05-24,11063.4,11121.0,10890.5,11005.7,4665605
2017-05-25,11178.6,11582.0,11178.6,11524.3,7123446
2017-05-26,11697.2,11697.2,11063.4,11322.7,8187698
2017-05-29,11322.7,11322.7,10688.8,10688.8,9326540
2017-05-30,10688.8,10775.3,9968.6,9968.6,11716769
2017-05-31,10026.2,10429.5,9738.1,9882.1,8492427
2017-06-01,10026.2,10371.9,9939.7,10371.9,5809358
2017-06-02,10487.1,10487.1,10199.0,10314.3,4259629
2017-06-05,10343.1,10371.9,9910.9,9997.4,4579335
2017-06-06,10026.2,10199.0,9795.7,10055.0,4388244
2017-06-07,10141.4,10429.5,10141.4,10199.0,5449493
2017-06-08,10199.0,10314.3,9968.6,9997.4,4237415
2017-06-09,9968.6,10227.8,9939.7,10083.8,4237068
2017-06-12,10170.2,10170.2,9968.6,9997.4,3723442
2017-06-13,9968.6,9997.4,9565.2,9738.1,10702498
2017-06-14,9795.7,9910.9,9766.9,9795.7,4953500
2017-06-15,9795.7,9882.1,9622.8,9795.7,2795753
2017-06-16,9709.3,10314.3,9622.8,10112.6,13388171
2017-06-19,10285.5,10573.6,10227.8,10371.9,10060864
2017-06-20,10429.5,10487.1,10227.8,10227.8,7295014
2017-06-21,10199.0,10227.8,9853.3,9968.6,12053899
2017-06-22,9968.6,10199.0,9939.7,10199.0,11537617
2017-06-23,10199.0,10487.1,10199.0,10227.8,14738530
2017-06-26,10227.8,10314.3,10026.2,10055.0,5605980
2017-06-27,10026.2,10083.8,9738.1,9795.7,9840357
2017-06-28,9766.9,9939.7,9738.1,9795.7,6633093
2017-06-29,9795.7,9997.4,9795.7,9853.3,4841389
2017-06-30,9853.3,10055.0,9824.5,9968.6,6015496
2017-07-03,9968.6,10026.2,9882.1,9910.9,4765324
2017-07-04,9968.6,9968.6,9824.5,9853.3,4405963
2017-07-05,9824.5,9882.1,9709.3,9795.7,7462399
2017-07-06,9795.7,9968.6,9738.1,9968.6,6713670
2017-07-07,9968.6,10055.0,9766.9,9795.7,9122502
2017-07-10,9824.5,9853.3,9594.0,9594.0,5608947
2017-07-11,9565.2,9680.4,9104.2,9334.7,14046169
2017-07-12,9334.7,9334.7,9133.0,9133.0,7611995
2017-07-13,9133.0,9651.6,9046.6,9594.0,9293150
2017-07-14,9594.0,9738.1,9450.0,9738.1,5536145
2017-07-17,9622.8,9766.9,9450.0,9507.6,7092104
2017-07-18,9392.3,9507.6,9248.3,9421.1,4837814
2017-07-19,9421.1,9651.6,9392.3,9450.0,4145522
2017-07-20,9507.6,9651.6,9392.3,9651.6,4016699
2017-07-21,9651.6,9738.1,9536.4,9594.0,9334194
2017-07-24,9507.6,9565.2,9277.1,9421.1,3343533
2017-07-25,9392.3,9594.0,9392.3,9565.2,2744904
2017-07-26,9565.2,10227.8,9565.2,10227.8,14106355
2017-07-27,10343.1,10775.3,10314.3,10573.6,18099192
2017-07-28,10631.2,10631.2,10429.5,10516.0,6084584
2017-07-31,10487.1,11034.6,10429.5,11005.7,11453031
2017-08-01,10948.1,11092.2,10804.1,10804.1,12023094
2017-08-02,10804.1,11034.6,10602.4,10890.5,8342814
2017-08-03,10919.3,11149.8,10832.9,10919.3,6497970
2017-08-04,11034.6,11149.8,10890.5,11121.0,6457707
2017-08-07,11207.4,11466.7,11207.4,11322.7,8238148
2017-08-08,11293.9,11351.5,10976.9,11063.4,8639802
2017-08-09,10976.9,11005.7,10314.3,10516.0,12537588
2017-08-10,10314.3,10688.8,10314.3,10602.4,4549815
2017-08-11,10544.8,10717.6,10487.1,10487.1,3709038
2017-08-14,10487.1,10660.0,10458.3,10660.0,4575205
2017-08-15,10832.9,10890.5,10660.0,10688.8,5285579
2017-08-16,10688.8,11293.9,10660.0,11178.6,8360481
2017-08-17,11236.2,11437.9,11005.7,11005.7,14014931
2017-08-18,10890.5,11207.4,10832.9,11149.8,6790082
2017-08-21,11207.4,11437.9,11063.4,11063.4,7354366
2017-08-22,11092.2,11121.0,10717.6,10775.3,5965879
2017-08-23,10832.9,10976.9,10688.8,10948.1,3901153
2017-08-24,10948.1,11178.6,10890.5,11034.6,4828269
2017-08-25,11034.6,11610.8,11034.6,11524.3,13132329
2017-08-28,11697.2,11956.5,11582.0,11870.1,9599510
2017-08-29,11812.4,11927.7,11639.6,11639.6,8430263
2017-08-30,11639.6,11985.3,11639.6,11870.1,6730088
2017-08-31,11985.3,12158.2,11754.8,11754.8,8275894
2017-09-01,11754.8,11927.7,11754.8,11927.7,4550978
2017-09-05,11927.7,12071.7,11783.6,11898.9,4799044
2017-09-06,11870.1,11927.7,11668.4,11783.6,6669728
2017-09-07,11726.0,11927.7,11726.0,11812.4,5695790
2017-09-08,11812.4,11927.7,11726.0,11726.0,5094540
2017-09-11,11668.4,11754.8,11178.6,11178.6,10464428
2017-09-12,11178.6,11437.9,11121.0,11437.9,4794740
2017-09-13,11466.7,11697.2,11380.3,11697.2,3350249
2017-09-14,11668.4,11726.0,11466.7,11466.7,3864934
2017-09-15,11466.7,11639.6,11409.1,11582.0,3611435
2017-09-18,11697.2,12100.6,11697.2,11870.1,8499681
2017-09-19,11870.1,12042.9,11754.8,11754.8,5901945
2017-09-20,11754.8,11927.7,11726.0,11927.7,3803360
2017-09-21,11927.7,12014.1,11870.1,11898.9,2004089
2017-09-22,11927.7,12388.7,11927.7,12359.9,8955013
2017-09-25,12417.5,12446.3,12187.0,12331.0,4809248
2017-09-26,12388.7,12446.3,12187.0,12388.7,4064303
2017-09-27,12388.7,12561.5,12273.4,12503.9,6622767
2017-09-28,12446.3,12561.5,11639.6,11812.4,15646174
2017-09-29,11870.1,12100.6,11726.0,12100.6,5524847
2017-10-02,11985.3,12100.6,11582.0,11639.6,6514804
2017-10-03,11524.3,11639.6,11236.2,11380.3,9012717
2017-10-04,11380.3,11812.4,11380.3,11812.4,4077683
2017-10-05,11927.7,12014.1,11697.2,11697.2,4369969
2017-10-06,11668.4,11783.6,11668.4,11697.2,2485835
2017-10-09,11697.2,11870.1,11697.2,11870.1,4517153
2017-10-10,11927.7,12244.6,11870.1,12187.0,8254392
2017-10-11,12215.8,12359.9,12014.1,12100.6,5109795
2017-10-12,12100.6,12158.2,11870.1,11927.7,5129423
2017-10-13,11927.7,12158.2,11783.6,12158.2,7050505
2017-10-16,12158.2,12302.2,11985.3,11985.3,4114944
2017-10-17,11985.3,12100.6,11870.1,12100.6,4100140
2017-10-18,12215.8,12302.2,11870.1,11870.1,12671965
2017-10-19,11927.7,11956.5,11610.8,11610.8,6538354
2017-10-20,11639.6,11754.8,11236.2,11380.3,8336982
2017-10-23,11322.7,11437.9,11005.7,11063.4,7012707
2017-10-24,11121.0,11178.6,10890.5,10948.1,8468148
2017-10-25,11063.4,11293.9,11005.7,11265.0,3675318
2017-10-26,11322.7,11322.7,10890.5,11034.6,4372399
2017-10-27,11005.7,11121.0,10976.9,11121.0,4310356
2017-10-30,11207.4,11236.2,10400.7,10400.7,8580554
2017-10-31,10588.0,10951.0,10346.0,10799.7,6167933
2017-11-01,10890.5,10890.5,10436.7,10436.7,3522946
2017-11-02,10225.0,10588.0,9952.7,9983.0,7444221
2017-11-03,10013.2,10648.5,10013.2,10648.5,6448515
2017-11-06,10769.5,11011.5,10769.5,10890.5,5433123
2017-11-07,10890.5,10951.0,10709.0,10739.2,5020332
2017-11-08,10709.0,11314.0,10709.0,11314.0,7912216
2017-11-09,11314.0,11495.5,11132.5,11162.8,6197320
2017-11-10,11132.5,11314.0,11072.0,11162.8,4103068
2017-11-13,11162.8,11162.8,10890.5,10890.5,3338657
2017-11-14,10830.0,11132.5,10830.0,10981.3,4674712
2017-11-15,10981.3,11435.0,10981.3,11223.3,4739568
2017-11-16,11314.0,11435.0,11223.3,11283.8,3412885
2017-11-17,11314.0,11344.3,11162.8,11193.0,4244037
2017-11-20,11193.0,11314.0,11072.0,11132.5,3004590
2017-11-21,11162.8,11283.8,10951.0,10951.0,5975297
2017-11-22,10951.0,11102.3,10920.8,11011.5,2953534
2017-11-23,11072.0,11435.0,10981.3,11193.0,6711957
2017-11-24,11193.0,11949.3,11193.0,11949.3,11802253
2017-11-27,12191.3,12282.1,11979.5,12130.8,7257040
2017-11-28,12040.1,12100.6,11828.3,11979.5,6067805
2017-11-29,11919.0,12251.8,11767.8,12130.8,6649927
2017-11-30,12161.1,12251.8,11919.0,11919.0,5285907
2017-12-01,11949.3,12403.1,11919.0,12251.8,8610796
2017-12-04,12463.6,12705.6,12282.1,12705.6,9416263
2017-12-05,12705.6,12917.3,12282.1,12282.1,11062981
2017-12-06,12161.1,12342.6,11919.0,12161.1,7716572
2017-12-07,12161.1,12312.3,11858.5,12100.6,5232223
2017-12-08,12100.6,12342.6,11949.3,12070.3,5034216
2017-12-11,11949.3,12251.8,11858.5,11858.5,6374700
2017-12-12,11888.8,12009.8,11041.8,11616.5,11449426
2017-12-13,11616.5,11616.5,11193.0,11374.5,6856959
2017-12-14,11314.0,11798.0,11314.0,11798.0,4004610
2017-12-15,11798.0,11949.3,11707.3,11919.0,3343054
2017-12-18,11979.5,12161.1,11919.0,11919.0,4861612
2017-12-19,11919.0,12221.6,11858.5,12040.1,8037087
2017-12-20,12221.6,12433.3,12130.8,12403.1,7712407
2017-12-21,12524.1,12766.1,12342.6,12342.6,10416349
2017-12-22,12342.6,12342.6,12040.1,12130.8,5017754
2017-12-25,12191.3,12221.6,12009.8,12009.8,3194912
2017-12-26,11979.5,12433.3,11919.0,12433.3,4192089
2017-12-27,12463.6,12645.1,12433.3,12554.3,7382075
2017-12-28,12584.6,12584.6,12463.6,12463.6,4871711
2017-12-29,12463.6,13250.1,12463.6,13038.3,18847022
2018-01-02,13310.6,13401.4,13189.6,13401.4,9864391
2018-01-03,13401.4,13522.4,13159.4,13371.1,7427049
2018-01-04,13431.6,13824.9,13401.4,13522.4,8918071
2018-01-05,13310.6,13522.4,13098.8,13159.4,13872803
2018-01-08,13189.6,14066.9,13038.3,14066.9,8779614
2018-01-09,14187.9,14520.7,13734.1,14278.7,8553245
2018-01-10,14278.7,14671.9,14157.6,14520.7,10818876
2018-01-11,14399.7,14823.2,14157.6,14823.2,9848954
2018-01-12,14823.2,14974.4,14460.2,14611.4,6348784
2018-01-15,14611.4,15609.7,14581.2,15609.7,8641571
2018-01-16,15398.0,16124.0,15398.0,15730.7,8927426
2018-01-17,15912.2,15942.5,14883.7,15125.7,9043619
2018-01-18,14913.9,15730.7,14671.9,15730.7,13085880
2018-01-19,15730.7,16789.5,15609.7,16638.3,12125858
2018-01-22,16638.3,16850.0,16335.7,16759.3,8169411
2018-01-25,16880.3,17757.6,16456.8,17545.8,11867754
2018-01-26,17545.8,17727.3,17061.8,17364.3,5901036
2018-01-29,17364.3,17576.1,17122.3,17243.3,5248933
2018-01-30,17061.8,18423.1,16850.0,18423.1,10465818
2018-01-31,18725.6,19421.4,18453.3,18453.3,4695620
2018-02-01,18453.3,18816.4,17545.8,17848.3,5027935
2018-02-02,17848.3,17999.6,17424.8,17999.6,3335666
2018-02-05,17606.3,17606.3,16759.3,16759.3,7166366
2018-02-06,15609.7,16759.3,15609.7,16154.2,10928293
2018-02-07,17182.8,17182.8,16214.7,16940.8,4166206
2018-02-08,16698.8,17787.8,16698.8,17243.3,5416876
2018-02-09,16275.2,17303.8,16214.7,17061.8,5194109
2018-02-12,17485.3,18150.8,17303.8,18150.8,3546664
2018-02-13,18695.4,18816.4,18392.8,18513.8,3760192
2018-02-21,18665.1,19421.4,18665.1,19028.1,4395650
2018-02-22,18634.9,19723.9,18634.9,19300.4,7258180
2018-02-23,19421.4,20268.4,19300.4,20238.2,6406814
2018-02-26,20570.9,20631.4,19602.9,19663.4,7900250
2018-02-27,19784.4,19905.4,19179.4,19542.4,6158445
2018-02-28,19239.9,20238.2,19149.1,20147.4,5914308
2018-03-01,19965.9,20540.7,19663.4,19965.9,4397270
2018-03-02,19723.9,21357.5,19663.4,21357.5,11016140
2018-03-05,21660.0,22234.8,21478.5,21720.5,10437803
2018-03-06,21720.5,22507.0,21297.0,22386.0,6082366
2018-03-07,22204.5,22446.5,21962.5,22144.0,6426532
2018-03-08,21902.0,22476.8,21841.5,22325.5,5357160
2018-03-09,22446.5,22507.0,21781.0,21781.0,3583803
2018-03-12,21781.0,22083.5,20934.0,20994.5,6705263
2018-03-13,20691.9,22083.5,20661.7,22083.5,3957968
2018-03-14,22083.5,22446.5,21871.8,21871.8,2620112
2018-03-15,21478.5,21962.5,21478.5,21962.5,2571601
2018-03-16,21902.0,22053.3,21629.7,21720.5,4601442
2018-03-19,22083.5,23233.1,21902.0,23233.1,10997546
2018-03-20,23112.1,23717.1,22991.1,23233.1,3417265
2018-03-21,23354.1,23414.6,22930.6,23112.1,4277094
2018-03-22,23081.8,23444.8,22991.1,23112.1,4928535
2018-03-23,22204.5,22870.0,22144.0,22265.0,7860401
2018-03-26,22113.8,23202.8,22113.8,23202.8,3902235
2018-03-27,23475.1,23596.1,22567.5,22688.5,3743630
2018-03-28,22567.5,22991.1,22204.5,22204.5,4386328
2018-03-29,22386.0,22446.5,21690.2,22144.0,6020733
2018-03-30,21902.0,22507.0,21690.2,22023.0,6160644
